Modelo,Color,Site,Attacked,Predator,Certainty
433,Yellow,Los Catios,No,None,NA
434,Yellow,Los Catios,No,None,NA
435,Yellow,Los Catios,No,None,NA
436,Yellow,Los Catios,No,None,NA
437,Yellow,Los Catios,No,None,NA
438,Yellow,Los Catios,No,None,NA
439,Yellow,Los Catios,No,None,NA
440,Yellow,Los Catios,No,None,NA
441,Yellow,Los Catios,No,None,NA
442,Yellow,Los Catios,No,None,NA
443,Yellow,Los Catios,No,None,NA
444,Yellow,Los Catios,No,None,NA
445,Yellow,Los Catios,No,None,NA
446,Yellow,Los Catios,No,None,NA
447,Yellow,Los Catios,No,None,NA
448,Yellow,Los Catios,No,None,NA
449,Yellow,Los Catios,No,None,NA
450,Yellow,Los Catios,No,None,NA
451,Yellow,Los Catios,No,None,NA
452,Yellow,Los Catios,No,None,NA
453,Yellow,Los Catios,No,None,NA
454,Yellow,Los Catios,No,None,NA
455,Yellow,Los Catios,No,None,NA
456,Yellow,Los Catios,No,None,NA
457,Yellow,Los Catios,No,None,NA
458,Yellow,Los Catios,No,None,NA
459,Yellow,Los Catios,No,None,NA
460,Yellow,Los Catios,No,None,NA
461,Yellow,Los Catios,No,None,NA
462,Yellow,Los Catios,No,None,NA
463,Yellow,Los Catios,No,None,NA
464,Yellow,Los Catios,No,None,NA
465,Yellow,Los Catios,No,None,NA
466,Yellow,Los Catios,No,None,NA
467,Yellow,Los Catios,No,None,NA
468,Yellow,Los Catios,No,None,NA
469,Yellow,Los Catios,No,None,NA
470,Yellow,Los Catios,No,None,NA
471,Yellow,Los Catios,No,None,NA
472,Yellow,Los Catios,No,None,NA
473,Yellow,Los Catios,No,None,NA
474,Yellow,Los Catios,No,None,NA
475,Yellow,Los Catios,No,None,NA
476,Yellow,Los Catios,No,None,NA
477,Yellow,Los Catios,No,None,NA
478,Yellow,Los Catios,No,None,NA
479,Yellow,Los Catios,No,None,NA
480,Yellow,Los Catios,No,None,NA
481,Yellow,Los Catios,No,None,NA
482,Yellow,Los Catios,No,None,NA
483,Yellow,Los Catios,No,None,NA
484,Yellow,Los Catios,No,None,NA
485,Yellow,Los Catios,No,None,NA
486,Yellow,Los Catios,No,None,NA
487,Yellow,Los Catios,No,None,NA
488,Yellow,Los Catios,No,None,NA
489,Yellow,Los Catios,No,None,NA
490,Yellow,Los Catios,No,None,NA
491,Yellow,Los Catios,No,None,NA
492,Yellow,Los Catios,No,None,NA
493,Yellow,Los Catios,No,None,NA
494,Yellow,Los Catios,No,None,NA
495,Yellow,Los Catios,No,None,NA
496,Yellow,Los Catios,No,None,NA
497,Yellow,Los Catios,No,None,NA
498,Yellow,Los Catios,No,None,NA
499,Yellow,Los Catios,No,None,NA
500,Yellow,Los Catios,No,None,NA
501,Yellow,Los Catios,No,None,NA
502,Yellow,Los Catios,No,None,NA
503,Yellow,Los Catios,No,None,NA
504,Yellow,Los Catios,No,None,NA
505,Yellow,Los Catios,No,None,NA
506,Brown,Los Catios,Attacked,Artropodo,Seguro
507,Brown,Los Catios,Attacked,Artropodo,Seguro
508,Brown,Los Catios,Attacked,Artropodo,Seguro
509,Brown,Los Catios,Attacked,Artropodo,Seguro
510,Brown,Los Catios,Attacked,Artropodo,Seguro
511,Brown,Los Catios,Attacked,Artropodo,Seguro
512,Brown,Los Catios,Attacked,Artropodo,Seguro
513,Brown,Los Catios,Attacked,Artropodo,Seguro
514,Brown,Los Catios,Attacked,Artropodo,Seguro
515,Brown,Los Catios,Attacked,Artropodo,Seguro
516,Brown,Los Catios,Attacked,Artropodo,Seguro
517,Brown,Los Catios,Attacked,Artropodo,Seguro
518,Brown,Los Catios,Attacked,Artropodo,Seguro
519,Brown,Los Catios,Attacked,Artropodo,Seguro
520,Brown,Los Catios,Attacked,Artropodo,Seguro
521,Brown,Los Catios,Attacked,Artropodo,Seguro
522,Brown,Los Catios,Attacked,Artropodo,Seguro
523,Brown,Los Catios,Attacked,Artropodo,Seguro
524,Brown,Los Catios,Attacked,Artropodo,Seguro
525,Brown,Los Catios,Attacked,Artropodo,Seguro
526,Brown,Los Catios,Attacked,Artropodo,Seguro
527,Brown,Los Catios,Attacked,Artropodo,Seguro
528,Brown,Los Catios,Attacked,Artropodo,Seguro
529,Brown,Los Catios,Attacked,Artropodo,Seguro
530,Brown,Los Catios,Attacked,Artropodo,Seguro
531,Brown,Los Catios,Attacked,Artropodo,Seguro
532,Brown,Los Catios,Attacked,Artropodo,Seguro
533,Brown,Los Catios,Attacked,Artropodo,Seguro
534,Brown,Los Catios,Attacked,Artropodo,Seguro
535,Brown,Los Catios,Attacked,Artropodo,Seguro
536,Brown,Los Catios,Attacked,Artropodo,Seguro
537,Brown,Los Catios,Attacked,Artropodo,Seguro
538,Brown,Los Catios,Attacked,Artropodo,Seguro
539,Brown,Los Catios,Attacked,Artropodo,Seguro
540,Brown,Los Catios,Attacked,Artropodo,Seguro
541,Brown,Los Catios,Attacked,Artropodo,Seguro
542,Brown,Los Catios,Attacked,Artropodo,Seguro
543,Brown,Los Catios,Attacked,Artropodo,Seguro
544,Brown,Los Catios,Attacked,Artropodo,Seguro
545,Brown,Los Catios,Attacked,Artropodo,Seguro
546,Brown,Los Catios,Attacked,Artropodo,Seguro
547,Brown,Los Catios,Attacked,Artropodo,Seguro
548,Brown,Los Catios,Attacked,Artropodo,Seguro
549,Brown,Los Catios,Attacked,Artropodo,Seguro
550,Brown,Los Catios,Attacked,Artropodo,Seguro
551,Brown,Los Catios,Attacked,Artropodo,Seguro
552,Brown,Los Catios,Attacked,Artropodo,Seguro
553,Brown,Los Catios,Attacked,Artropodo,Seguro
554,Brown,Los Catios,Attacked,Artropodo,Seguro
555,Brown,Los Catios,Attacked,Artropodo,Seguro
556,Brown,Los Catios,Attacked,Artropodo,Seguro
557,Brown,Los Catios,Attacked,Artropodo,Seguro
558,Brown,Los Catios,Attacked,Artropodo,Seguro
559,Brown,Los Catios,Attacked,Artropodo,Seguro
560,Brown,Los Catios,Attacked,Artropodo,Seguro
561,Brown,Los Catios,Attacked,Artropodo,Seguro
562,Brown,Los Catios,Attacked,Ave,Seguro
563,Brown,Los Catios,Attacked,Ave,Seguro
564,Brown,Los Catios,Attacked,Ave,Seguro
565,Brown,Los Catios,Attacked,Ave,Seguro
566,Brown,Los Catios,Attacked,Ave,Seguro
567,Brown,Los Catios,Attacked,Ave,Seguro
568,Brown,Los Catios,Attacked,Ave,Seguro
569,Brown,Los Catios,Attacked,Ave,Seguro
570,Brown,Los Catios,Attacked,Ave,Seguro
571,Brown,Los Catios,Attacked,Ave,Seguro
572,Brown,Los Catios,Attacked,Ave,Seguro
573,Brown,Los Catios,Attacked,Ave,Seguro
574,Brown,Los Catios,Attacked,Ave,Seguro
575,Brown,Los Catios,Attacked,Ave,Seguro
576,Brown,Los Catios,Attacked,Ave,Seguro
577,Brown,Los Catios,Attacked,Ave,Seguro
578,Brown,Los Catios,Attacked,Ave,Seguro
579,Brown,Los Catios,Attacked,Ave,Seguro
580,Brown,Los Catios,Attacked,Ave,Seguro
581,Brown,Los Catios,Attacked,Ave,Seguro
582,Brown,Los Catios,Attacked,Ave,Seguro
583,Brown,Los Catios,Attacked,Ave,Seguro
584,Brown,Los Catios,Attacked,Ave,Seguro
585,Brown,Los Catios,Attacked,Ave,Seguro
586,Brown,Los Catios,Attacked,Ave,Seguro
587,Brown,Los Catios,Attacked,Ave,Seguro
588,Brown,Los Catios,Attacked,Ave,Seguro
589,Brown,Los Catios,Attacked,Ave,Seguro
590,Brown,Los Catios,Attacked,Ave,Seguro
591,Brown,Los Catios,Attacked,Ave,Seguro
592,Brown,Los Catios,Attacked,Ave,Seguro
593,Brown,Los Catios,Attacked,Ave,Seguro
594,Brown,Los Catios,Attacked,Ave,Seguro
595,Brown,Los Catios,Attacked,Ave,Seguro
596,Brown,Los Catios,Attacked,Ave,Seguro
597,Brown,Los Catios,Attacked,Ave,Seguro
598,Brown,Los Catios,Attacked,Ave,Seguro
599,Brown,Los Catios,Attacked,Ave,Tentativo
600,Brown,Los Catios,Attacked,Ave,Seguro
601,Brown,Los Catios,Attacked,Ave,Seguro
602,Brown,Los Catios,Attacked,Ave,Seguro
603,Brown,Los Catios,Attacked,Ave,Seguro
604,Brown,Los Catios,Attacked,Mamifero,Seguro
605,Brown,Los Catios,Attacked,Mamifero,Seguro
606,Brown,Los Catios,Attacked,Mamifero,Seguro
607,Brown,Los Catios,Attacked,Mamifero,Seguro
608,Brown,Los Catios,Attacked,Mamifero,Seguro
609,Brown,Los Catios,Attacked,Mamifero,Seguro
610,Brown,Los Catios,Attacked,Mamifero,Seguro
